month,day,carrier,origin,orstate,dest,deststate,depart,delay,duration,distance
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,484,0,313,2329
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,1011,0,296,2329
April,Monday,Alaska Airlines,DCA,VA,LAX,CA,547,0,320,2311
April,Tuesday,Alaska Airlines,DCA,VA,SEA,WA,469,0,314,2329
April,Tuesday,Alaska Airlines,DCA,VA,SEA,WA,1010,0,299,2329
April,Tuesday,Alaska Airlines,DCA,VA,LAX,CA,536,0,314,2311
April,Wednesday,Alaska Airlines,DCA,VA,SEA,WA,465,0,313,2329
April,Wednesday,Alaska Airlines,DCA,VA,SEA,WA,1015,0,310,2329
April,Wednesday,Alaska Airlines,DCA,VA,LAX,CA,539,0,334,2311
April,Thursday,Alaska Airlines,DCA,VA,SEA,WA,476,0,295,2329
April,Thursday,Alaska Airlines,DCA,VA,SEA,WA,1018,0,299,2329
April,Friday,Alaska Airlines,DCA,VA,SEA,WA,476,0,303,2329
April,Friday,Alaska Airlines,DCA,VA,SEA,WA,1031,0,293,2329
April,Saturday,Alaska Airlines,DCA,VA,SEA,WA,471,0,301,2329
April,Saturday,Alaska Airlines,DCA,VA,SEA,WA,1020,0,298,2329
April,Saturday,Alaska Airlines,DCA,VA,LAX,CA,535,0,324,2311
April,Sunday,Alaska Airlines,DCA,VA,SEA,WA,470,0,321,2329
April,Sunday,Alaska Airlines,DCA,VA,SEA,WA,1019,0,325,2329
April,Sunday,Alaska Airlines,DCA,VA,LAX,CA,542,0,324,2311
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,476,0,323,2329
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,1018,0,309,2329
April,Tuesday,Alaska Airlines,DCA,VA,SEA,WA,470,0,325,2329
April,Tuesday,Alaska Airlines,DCA,VA,SEA,WA,1026,0,307,2329
April,Tuesday,Alaska Airlines,DCA,VA,LAX,CA,543,0,328,2311
April,Wednesday,Alaska Airlines,DCA,VA,SEA,WA,473,0,291,2329
April,Wednesday,Alaska Airlines,DCA,VA,SEA,WA,1022,0,301,2329
April,Wednesday,Alaska Airlines,DCA,VA,LAX,CA,532,0,342,2311
April,Thursday,Alaska Airlines,DCA,VA,SEA,WA,472,0,301,2329
April,Thursday,Alaska Airlines,DCA,VA,SEA,WA,1036,0,321,2329
April,Thursday,Alaska Airlines,DCA,VA,LAX,CA,544,0,319,2311
April,Friday,Alaska Airlines,DCA,VA,SEA,WA,474,0,324,2329
April,Friday,Alaska Airlines,DCA,VA,SEA,WA,1015,0,323,2329
April,Friday,Alaska Airlines,DCA,VA,LAX,CA,542,0,316,2311
April,Saturday,Alaska Airlines,DCA,VA,SEA,WA,1031,0,332,2329
April,Saturday,Alaska Airlines,DCA,VA,LAX,CA,551,0,319,2311
April,Sunday,Alaska Airlines,DCA,VA,SEA,WA,1016,0,334,2329
April,Sunday,Alaska Airlines,DCA,VA,LAX,CA,540,0,314,2311
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,479,0,329,2329
April,Monday,Alaska Airlines,DCA,VA,SEA,WA,1016,0,318,2329
April,Monday,Alaska Airlines,DCA,VA,LAX,CA,539,0,332,2311
