"month","day","carrier","origin","orstate","dest","deststate","depart","delay","duration","distance"
"5","4","AA","DCA","VA","BOS","MA",600,0,58,399
"6","5","AA","DCA","VA","LGA","NY",478,0,36,214
"7","4","DL","DCA","VA","MSP","MN",440,0,133,931
"4","3","AA","DCA","VA","LGA","NY",415,0,36,214
"4","2","WN","DCA","VA","BNA","TN",1126,0,79,562
"6","3","YX","DCA","VA","MYR","SC",507,0,67,372
"8","1","OH","DCA","VA","VPS","FL",513,0,101,789
"5","7","YX","DCA","VA","ATL","GA",897,0,87,547
"7","3","YX","DCA","VA","JFK","NY",706,0,46,213
"5","3","OH","DCA","VA","JAN","MS",1172,0,123,860
"8","7","DL","DCA","VA","ATL","GA",778,0,82,547
"7","5","YX","DCA","VA","JFK","NY",963,0,45,213
"8","7","YX","DCA","VA","RDU","NC",828,0,47,227
"8","7","AA","DCA","VA","MIA","FL",953,0,130,919
"5","5","OH","DCA","VA","BDL","CT",906,0,56,313
"7","3","AA","DCA","VA","LGA","NY",473,0,38,214
"4","5","B6","DCA","VA","SJU","PR",470,0,187,1554
"6","7","B6","DCA","VA","PBI","FL",656,0,122,857
"5","6","DL","DCA","VA","LAX","CA",1051,0,325,2311
"8","2","WN","DCA","VA","ATL","GA",951,0,77,547
"5","2","AA","DCA","VA","LGA","NY",655,0,43,214
"6","4","AA","DCA","VA","LGA","NY",714,0,39,214
"7","1","B6","DCA","VA","BOS","MA",1161,1,60,399
"5","4","AA","DCA","VA","PHX","AZ",475,0,264,1979
"4","5","OH","DCA","VA","JAN","MS",1182,0,135,860
"5","2","OH","DCA","VA","BDL","CT",629,0,54,313
"8","1","YX","DCA","VA","EYW","FL",634,1,148,1023
"7","6","OH","DCA","VA","OKC","OK",1192,0,160,1158
"7","5","WN","DCA","VA","BNA","TN",626,0,84,562
"4","4","YX","DCA","VA","PNS","FL",551,0,140,816
"7","6","AA","DCA","VA","CLT","NC",390,0,63,331
"6","6","YV","DCA","VA","IAH","TX",508,0,154,1208
"6","5","AA","DCA","VA","DFW","TX",932,0,159,1192
"6","7","YX","DCA","VA","DSM","IA",935,0,119,897
"8","6","AA","DCA","VA","MCO","FL",504,0,96,759
"8","6","DL","DCA","VA","ATL","GA",778,0,78,547
"4","7","YX","DCA","VA","BDL","CT",1278,0,51,313
"6","1","OH","DCA","VA","MHT","NH",630,0,62,406
"4","4","B6","DCA","VA","BOS","MA",554,0,67,399
"7","6","DL","DCA","VA","MSP","MN",446,0,127,931
"5","7","WN","DCA","VA","TPA","FL",1049,0,106,814
"8","7","YX","DCA","VA","MVY","MA",658,0,60,383
"4","6","YX","DCA","VA","ATL","GA",597,0,91,547
"4","2","DL","DCA","VA","MSP","MN",438,0,145,931
"7","5","WN","DCA","VA","FLL","FL",557,0,124,899
"8","5","WN","DCA","VA","BNA","TN",1130,0,75,562
"5","3","YX","DCA","VA","VPS","FL",907,0,106,789
"8","7","WN","DCA","VA","MDW","IL",875,0,89,601
"7","3","YX","DCA","VA","MCI","MO",1023,0,136,949
"8","1","YX","DCA","VA","IND","IN",914,0,78,500
"7","7","DL","DCA","VA","ATL","GA",906,0,76,547
"4","1","MQ","DCA","VA","MYR","SC",818,0,61,372
"8","3","YX","DCA","VA","BGR","ME",594,0,76,590
"8","4","YX","DCA","VA","ROC","NY",925,0,46,296
"7","4","AS","DCA","VA","PDX","OR",1147,1,337,2350
"8","1","AA","DCA","VA","DFW","TX",934,0,169,1192
"5","4","YX","DCA","VA","PBI","FL",504,0,132,857
"6","5","WN","DCA","VA","BNA","TN",1135,0,84,562
"4","6","OH","DCA","VA","PVD","RI",869,0,58,356
"8","3","WN","DCA","VA","MDW","IL",799,0,90,601
"4","4","B6","DCA","VA","PBI","FL",909,1,125,857
"6","1","YX","DCA","VA","BUF","NY",913,1,73,296
"7","1","AA","DCA","VA","JFK","NY",1132,1,48,213
"4","4","YX","DCA","VA","TPA","FL",1169,0,112,814
"6","1","AA","DCA","VA","MIA","FL",360,0,125,919
"6","7","WN","DCA","VA","MCO","FL",1034,0,113,759
